PMID,Title,Abstract,Journal,Publication Date,DOI,Databases
39990235,"USP14 modulates stem-like properties, tumorigenicity, and radiotherapy resistance in glioblastoma stem cells through stabilization of MST4-phosphorylated ALKBH5.","Rationale: Glioblastoma (GBM) is the most aggressive type of primary brain cancer and contains self-renewing GBM stem cells (GSCs) that contribute to tumor growth and therapeutic resistance. However, molecular determinants governing therapeutic resistance of GSCs are poorly understood. Methods: We performed genome-wide analysis of deubiquitylating enzymes (DUBs) in patient-derived GSCs and used gene-specific shRNAs to identify an important DUB gene contributing to GSC survival and radioresistance. Subsequently, we employed mass spectrometry and immunoprecipitation to show the interaction between USP14 and ALKBH5, and identified the upstream kinase MST4, which is essential for the deubiquitylation and stabilization of ALKBH5. Additionally, we performed integrated transcriptome and m(6)A-seq analyses to uncover the key downstream pathways of ALKBH5 that influence GSC radioresistance. Results: Our study demonstrates the essential role of the deubiquitinase USP14 in maintaining the stemness, tumorigenic potential, and radioresistance of GSCs. USP14 stabilizes the m(6)A demethylase ALKBH5 by preventing its K48-linked ubiquitination and degradation through HECW2. The phosphorylation of ALKBH5 at serine 64 and 69 by MST4 increases its interaction with USP14, promoting ALKBH5 deubiquitylation. Furthermore, ALKBH5 directly interacts with the USP14 transcript in a manner dependent on YTHDF2, establishing a positive feedback loop that sustains the overexpression of both proteins in GSCs. The MST4-USP14-ALKBH5 signaling pathway is crucial for enhancing stem cell-like traits, facilitating homologous recombination repair of DNA double-strand breaks, and promoting radioresistance and tumorigenicity in GSCs. This signaling cascade is further stimulated in GSCs following exposure to ionizing radiation (IR). Inhibiting USP14 with the small molecule IU1 disrupts ALKBH5 deubiquitylation and increases the effectiveness of IR therapy on GSC-derived brain tumor xenografts. Conclusion: Our results identify the MST4-USP14-ALKBH5 signaling pathway as a promising therapeutic target for treating GBM.",Theranostics,2025,thnov15p2293 [pii],
39486496,USP14 inhibition enhances Parkin-independent mitophagy in iNeurons.,"Loss of proteostasis is well documented during physiological aging and depends on the progressive decline in the activity of two major degradative mechanisms: the ubiquitin-proteasome system (UPS) and the autophagy-lysosomal pathway. This decline in proteostasis is exacerbated in age-associated neurodegenerative diseases, such as Parkinson's Disease (PD). In PD, patients develop an accumulation of aggregated proteins and dysfunctional mitochondria, which leads to ROS production, neuroinflammation and neurodegeneration. We recently reported that inhibition of the deubiquitinating enzyme USP14, which is known to enhance both the UPS and autophagy, increases lifespan and rescues the pathological phenotype of two Drosophila models of PD. Studies on the effects of USP14 inhibition in mammalian neurons have not yet been conducted. To close this gap, we exploited iNeurons differentiated from human embryonic stem cells (hESCs), and investigated the effect of inhibiting USP14 in these cultured neurons. Quantitative global proteomics analysis performed following genetic ablation or pharmacological inhibition of USP14 demonstrated that USP14 loss of function specifically promotes mitochondrial autophagy in iNeurons. Biochemical and imaging data also showed that USP14 inhibition enhances mitophagy. The mitophagic effect of USP14 inhibition proved to be PINK1/Parkin- independent, instead relying on expression of the mitochondrial E3 Ubiquitin Ligase MITOL/MARCH5. Notably, USP14 inhibition normalized the mitochondrial defects of Parkin KO human neurons.",Pharmacological research,2024 Dec,S1043-6618(24)00429-8 [pii],
38844605,Loss of the proteasomal deubiquitinase USP14 induces growth defects and a senescence phenotype in colorectal cancer cells.,"The proteasome-associated deubiquitinase USP14 is a potential drug target. Using an inducible USP14 knockout system in colon cancer cells, we found that USP14 depletion impedes cellular proliferation, induces cell cycle arrest, and leads to a senescence-like phenotype. Transcriptomic analysis revealed altered gene expression related to cell division and cellular differentiation. USP14 knockout cells also exhibited changes in morphology, actin distribution, and expression of actin cytoskeletal components. Increased ubiquitin turnover was observed, offset by upregulation of polyubiquitin genes UBB and UBC. Pharmacological inhibition of USP14 with IU1 increased ubiquitin turnover but did not affect cellular growth or morphology. BioGRID data identified USP14 interactors linked to actin cytoskeleton remodeling, DNA damage repair, mRNA splicing, and translation. In conclusion, USP14 loss in colon cancer cells induces a transient quiescent cancer phenotype not replicated by pharmacologic inhibition of its deubiquitinating activity.",Scientific reports,2024 Jun 6,10.1038/s41598-024-63791-5 [pii],
38636737,USP14 negatively regulates IFN signaling by dampening K63-linked ubiquitination of TBK1 in black carp.,"USP14 regulates the immune related pathways by deubiquitinating the signaling molecules in mammals. In teleost, USP14 is also reported to inhibit the antiviral immune response through TBK1, but its regulatory mechanism remains obscure. To elucidate the role of USP14 in the RLR/IFN antiviral pathway in teleost, the homolog USP14 (bcUSP14) of black carp (Mylopharyngodon piceus) has been cloned and characterize in this paper. bcUSP14 contains 490 amino acids (aa), and the sequence is well conserved among in vertebrates. Over-expression of bcUSP14 in EPC cells attenuated SVCV-induced transcription activity of IFN promoters and enhanced SVCV replication. Knockdown of bcUSP14 in MPK cells led to the increased transcription of IFNs and decreased SVCV replication, suggesting the improved antiviral activity of the host cells. The interaction between bcUSP14 and bcTBK1 was identified by both co-immunoprecipitation and immunofluorescent staining. Co-expressed bcUSP14 obviously inhibited bcTBK1-induced IFN production and antiviral activity in EPC cells. K63-linked polyubiquitination of bcTBK1 was dampened by co-expressed bcUSP14, and bcTBK1-mediated phosphorylation and nuclear translocation of IRF3 were also inhibited by this deubiquitinase. Thus, all the data demonstrated that USP14 interacts with and inhibits TBK1 through deubiquitinating TBK1 in black carp.",Fish & shellfish immunology,2024 Jun,S1050-4648(24)00203-1 [pii],
37229827,USP14 regulates heme metabolism and ovarian cancer invasion through BACH1 deubiquitination and stabilization.,"The deubiquitinating enzyme USP14 has been established as a crucial regulator in various diseases, including tumors, neurodegenerative diseases, and metabolic diseases, through its ability to stabilize its substrate proteins. Our group has utilized proteomic techniques to identify new potential substrate proteins for USP14, however, the underlying signaling pathways regulated by USP14 remain largely unknown. Here, we demonstrate the key role of USP14 in both heme metabolism and tumor invasion by stabilizing the protein BACH1. The cellular oxidative stress response factor NRF2 regulates antioxidant protein expression through binding to the antioxidant response element (ARE). BACH1 can compete with NRF2 for ARE binding, leading to the inhibition of the expression of antioxidant genes, including HMOX-1. Activated NRF2 also inhibits the degradation of BACH1, promoting cancer cell invasion and metastasis. Our findings showed a positive correlation between USP14 expression and NRF2 expression in various cancer tissues from the TCGA database and normal tissues from the GTEx database. Furthermore, activated NRF2 was found to increase USP14 expression in ovarian cancer (OV) cells. The overexpression of USP14 was observed to inhibit HMOX1 expression, while USP14 knockdown had the opposite effect, suggesting a role for USP14 in regulating heme metabolism. The depletion of BACH1 or inhibition of heme oxygenase 1 (coded by HMOX-1) was also found to significantly impair USP14-dependent OV cell invasion. In conclusion, our results highlight the importance of the NRF2-USP14-BACH1 axis in regulating OV cell invasion and heme metabolism, providing evidence for its potential as a therapeutic target in related diseases.",Biochemical and biophysical research communications,2023 Jul 30,S0006-291X(23)00505-3 [pii],
36604147,USP14 regulates cell cycle progression through deubiquitinating CDK1 in breast cancer.,"Abnormal proliferation and cell cycle perturbation are the main hallmarks of breast cancer. Cyclin-dependent kinase 1 (CDK1) is one of the key kinases for cell transition from the G2 phase to M phase during the cell cycle progression. However, little is known about the degradation mechanisms of CDK1. USP14 (ubiquitin-specific processing protease 14) is an important proteasome-associated deubiquitinase that is critical for proteome homeostasis and plays a crucial role in the initiation and development of cancer. In this study, we find that USP14 shows high expression in breast cancer cells and results in the abnormal proliferation of cancer cells. Furthermore, we examine cell cycle distribution by flow cytometry and find that inhibition of USP14 causes cell cycle arrest in G2/M phase. As CDK1 is the key kinase in G2/M phase, we detect the interaction between USP14 and CDK1 and the effect of USP14 on the deubiquitination of CDK1. The results reveal that USP14 interacts with CDK1 and stabilizes CDK1 by deubiquitinating K48-linked ubiquitination. In conclusion, our findings reveal an indispensable role of USP14 in regulating cell cycle progression by stabilizing CDK1 in breast cancer, suggesting that USP14 may be used as a potential therapeutic target in breast cancer therapy.",Acta biochimica et biophysica Sinica,2022 Nov 25,10.3724/abbs.2022160,
35530310,Comprehensive Target Screening and Cellular Profiling of the Cancer-Active Compound b-AP15 Indicate Abrogation of Protein Homeostasis and Organelle Dysfunction as the Primary Mechanism of Action.,"Dienone compounds have been demonstrated to display tumor-selective anti-cancer activity independently of the mutational status of TP53. Previous studies have shown that cell death elicited by this class of compounds is associated with inhibition of the ubiquitin-proteasome system (UPS). Here we extend previous findings by showing that the dienone compound b-AP15 inhibits proteasomal degradation of long-lived proteins. We show that exposure to b-AP15 results in increased association of the chaperones VCP/p97/Cdc48 and BAG6 with proteasomes. Comparisons between the gene expression profile generated by b-AP15 to those elicited by siRNA showed that knock-down of the proteasome-associated deubiquitinase (DUB) USP14 is the closest related to drug response. USP14 is a validated target for b-AP15 and we show that b-AP15 binds covalently to two cysteines, Cys203 and Cys257, in the ubiquitin-binding pocket of the enzyme. Consistent with this, deletion of USP14 resulted in decreased sensitivity to b-AP15. Targeting of USP14 was, however, found to not fully account for the observed proteasome inhibition. In search for additional targets, we utilized genome-wide CRISPR/Cas9 library screening and Proteome Integral Solubility Alteration (PISA) to identify mechanistically essential genes and b-AP15 interacting proteins respectively. Deletion of genes encoding mitochondrial proteins decreased the sensitivity to b-AP15, suggesting that mitochondrial dysfunction is coupled to cell death induced by b-AP15. Enzymes known to be involved in Phase II detoxification such as aldo-ketoreductases and glutathione-S-transferases were identified as b-AP15-targets using PISA. The finding that different exploratory approaches yielded different results may be explained in terms of a ""target"" not necessarily connected to the ""mechanism of action"" thus highlighting the importance of a holistic approach in the identification of drug targets. We conclude that b-AP15, and likely also other dienone compounds of the same class, affect protein degradation and proteasome function at more than one level.",Frontiers in oncology,2022,10.3389/fonc.2022.852980,
35489684,A ubiquitinome analysis to study the functional roles of the proteasome associated deubiquitinating enzymes USP14 and UCH37.,"The removal of (poly)ubiquitin chains at the proteasome is a key step in the protein degradation pathway that determines which proteins are degraded and ultimately decides cell fate. Three different deubiquitinating enzymes (DUBs) are associated to the human proteasome, PSMD14 (RPN11), USP14 and UCH37 (UCHL5). However, the functional roles and specificities of these proteasomal DUBs remain elusive. To reveal the specificities of proteasome associated DUBs, we used SILAC based quantitative ubiquitinomics to study the effects of CRISPR-Cas9 based knockout of each of these DUBs on the dynamic cellular ubiquitinome. We observed distinct effects on the global ubiquitinome upon removal of either USP14 or UCH37, while the simultaneous removal of both DUBs suggested less functional redundancy than previously anticipated. We also investigated whether the small molecule inhibitor b-AP15 has the potential to specifically target USP14 and UCH37 by comparing treatment of wild-type versus USP14/UCH37 double-knockout cells with this drug. Strikingly, broad and severe off-target effects were observed, questioning the alleged specificity of this inhibitor. In conclusion, this work presents novel insights into the function of proteasome associated DUBs and illustrates the power of in-depth ubiquitinomics for screening the activity of DUBs and of DUB modulating compounds. SIGNIFICANCE: Introduction: The removal of (poly)ubiquitin chains at the proteasome is a key step in the protein degradation pathway that determines which proteins are degraded and ultimately decides cell fate. Three different deubiquitinating enzymes (DUBs) are associated to the human proteasome, PSMD14/RPN11, USP14 and UCH37/UCHL5. However, the functional roles and specificities of these proteasomal DUBs remains elusive. MATERIALS & METHODS: We have applied a SILAC based quantitative ubiquitinomics to study the effects of CRISPR-Cas9 based knockout of each of these DUBs on the dynamic cellular ubiquitinome. Also, we have studied the function of the small molecule inhibitor b-AP15, which has the potential to specifically target USP14 and UCH37. RESULTS: We report distinct effects on the ubiquitinome and the ability of the proteasome to clear proteins upon removal of either USP14 or UCH37, while the simultaneous removal of both DUBs suggests less redundancy than previously anticipated. In addition, broad and severe off-target effects were observed for b-AP15, questioning the alleged specificity of this inhibitor. CONCLUSIONS: This work presents novel insights into the function of proteasome associated DUBs and illustrates the power of in-depth ubiquitinomics for screening the activity of DUBs and of DUB modulating compounds.",Journal of proteomics,2022 Jun 30,S1874-3919(22)00116-6 [pii],
33737492,Deubiquitylation and stabilization of Acf7 by ubiquitin carboxylterminal hydrolase 14 (USP14) is critical for NSCLC migration.,"The ubiquitin-proteasome system is an essential regulator of Acf7, which serves as a key effector for the maintenance of the EMT program and migration. However, the precise mechanism for the deubiquitination of Acf7 is still not fully understood. Using a proteomic approach, we identified ubiquitin-specific peptidase 14 (USP14) as an Acf7-associated deubiquitinase. Our findings show that there was an interaction between USP14 and Acf7. The expression of USP14 and Acf7 were elevated in lung cancer tissues compared to adjacent normal cells. Employing the overexpression of USP14 and the USP14 knockdown assay indicated that USP14 can greatly increase the steady-state levels of Acf7 by inhibiting the degradation of Acf7 through the ubiquitin- proteasome pathway. Here we identified USP14 as a deubiquitinating enzyme that regulated Acf7 ubiquitination and protein levels. Moreover, knockdown of USP14 inhibited cell migration, however, overexpression of wild-type USP14 but not USP14 mutants promoted cell migration. Together, these results suggest that USP14 plays an important role in the NSCLC migration through modulating Acf7 stability.",Journal of biosciences,2021,19 [pii],
32697961,Grouper ubiquitin-specific protease 14 promotes iridovirus replication through negatively regulating interferon response.,"Ubiquitin-specific protease 14 (USP14), one of the USP family members which belong to deubiquitinating enzymes (DUBs), plays a key role in maintaining cellular protein homeostasis by trimming ubiquitin chains from their substrates. However, the roles of USP14 in response to virus infection still remains largely unknown. In the current study, a USP14 homolog from orange spotted grouper (EcUSP14) was cloned and its roles in innate immune response were investigated. EcUSP14 was composed of 1479 base pairs encoding a 492-amino acid (aa) polypeptide. Sequence analysis indicated that EcUSP14 shared 96.14% and 81.30% identity to USP14 of bicolor damselfish (Stegastes partitus) and humans (homo sapiens), respectively. EcUSP14 contains conserved ubiquitin-like (UBL) domain (aa 3-76) and peptidase-C19A domain (aa 106-481). In response to Singapore grouper iridovirus (SGIV) infection in vitro, EcUSP14 was significantly up-regulated. Subcellular localization showed that EcUSP14 was predominantly localized in the cytoplasm of grouper spleen (GS) cells and mostly co-localized with the viral assembly sites after SGIV infection. The ectopic expression of EcUSP14 significantly promoted the replication of SGIV, as demonstrated by the accelerated progression of severity of cytopathic e ff ect (CPE), the increased viral gene transcription and viral protein synthesis during infection. Consistently, treatment with IU1, a USP14 specific inhibitor, significantly inhibited the replication of SGIV, suggesting that USP14 function as a pro-viral factor during SGIV replication. Further analysis showed that EcUSP14 overexpression decreased the promoter activities of interferon (IFN)-1, IFN-3, IFN-stimulated response element (ISRE), and nuclear factor of kappa B (NF-kappaB). Furthermore, the ectopic expression of EcUSP14 decreased the activities of IFN-1 promoter evoked by TANK-binding kinase (TBK)-1 and melanoma di ff erentiation-associated protein (MDA)-5, but not stimulator of interferon genes (STING). Thus, we speculated that EcUSP14 facilitated virus replication by negatively regulating the IFN response. Taken together, our results firstly demonstrated that fish USP14 functioned as a pro-viral factor by negatively regulating interferon response against virus infection.",Fish & shellfish immunology,2020 Oct,S1050-4648(20)30499-X [pii],
