PMID,Title,Abstract,Has_Dataset
40093571,Prognostic Value of Ferroptosis-Immunity-Related Signature Genes in Cervical Cancer Radiotherapy Resistance and Risk Modeling.,"INTRODUCTION: The aim of this study was to clarify the genome of ferroptosis in the genes involved in radiotherapy resistance and regulation of tumor immune microenvironment by multigene analysis of cervical cancer (CC) patients. METHODS: Different radiation sensitivity samples from CC patients were collected for RNA sequencing. Differentially expressed genes (DEGs) between the RNA dataset and the GSE9750 dataset were considered as radiotherapy-DEGs. The intersection genes of radiotherapy-DEGs with ferroptosis-related genes (FRGs) and the intersection genes of radiotherapy-DEGs with immune-related genes (IRGs) were labeled as FRGs-IRGs-DEGs (FIGs). A risk model was established by prognostic genes selected from FIGs by univariate Cox analysis and least absolute shrinkage and selection operator (LASSO) analysis. The results were further validated using samples from CC tissue samples. RESULTS: The 329 DEGs related to CC radiotherapy were identified. LSAAO analysis was utilized to identify five prognostic genes (CALCRL, UCHL1, GNRH1, ACVRL1, and MUC1) from six candidate prognosis genes and construct a risk model. The risk model demonstrated favorable effectiveness in predicting outcomes at 1, 3, and 5 years, as evidenced by ROC curves. Univariate and multivariate Cox regression analysis demonstrated that CALCRL, GNRH1, and MUC1 were independent prognostic factors. The results of functional similarity analysis showed that CALCRL, UCHL1, ACVRL1 and MUC1 had high average functional similarity. The results of PCR and IHC showed the same trend with the results above. DISCUSSION: A novel prognostic model related to ferroptosis and immune microenvironment in CC radiotherapy was developed and validated, providing valuable guidance for personalized anti-cancer therapy.",True
40051782,PCBP2 promotes immune evasion via cGAS-STING pathway in biochemical recurrence of prostate cancer.,"Immunotherapy resistance is a significant obstacle in the treatment of prostate cancer (PCa), primarily due to immune evasion mechanisms. This study aims to explore cancer-intrinsic immune evasion-related genes (CIERGs) in PCa and develop a predictive signature for biochemical recurrence (BCR). Bulk RNA-seq data and single-cell RNA-sequencing (scRNA-seq) were obtained from TCGA and Gene Expression Omnibus database. The scRNA-seq data analysis revealed higher immune evasion scores in tumor cells compared to normal cells. Differentially expressed genes from TCGA-PRAD and GSE70769 cohorts were intersected with 182 core immune evasion genes, followed by univariate Cox regression, identifying 48 CIERGs significantly associated with BCR. Nonnegative matrix factorization (NMF) clustering revealed two immune evasion-related PCa subtypes. A risk signature based on CIERGs was developed using LASSO regression, and a nomogram was created to predict BCR-free survival. Among the 48 identified CIERGs, poly(C)-binding protein 2 (PCBP2) emerged as a key risk factor associated with poor prognosis in PCa, and its function was validated in vitro. NMF clustering identified two subtypes, with the C1 subtype having a poorer prognosis. Gene Set Variation Analysis highlighted enrichment in cell cycle, extracellular matrix receptor interaction, and transforming growth factor-beta signaling pathways in the C1 subtype. A CIERGs-based risk signature, including six key genes, was developed and validated, with the nomogram showing high predictive accuracy. In vitro experiments showed PCBP2 promotes PCa cell proliferation, migration, and invasion by inhibiting the cyclic GMP-AMP synthase-STING pathway. The CIERGs signature provides a precise prediction of BCR, with PCBP2 emerging as a potential therapeutic target due to its inhibition of the cGAS-STING pathway in PCa.",True
39994616,Identification of CSRP1 as novel biomarker for hormone-sensitive prostate cancer by the combination of clinical and functional research.,"Prostate cancer (PCa) ranks as the second most common malignancy and the fifth leading cause of cancer-related deaths among men. A critical challenge lies in accurately identifying those patients at high risk for transitioning rapidly from hormone-sensitive PCa (HSPC) to lethal castration-resistant PCa (CRPC). In our study, we employed a multiomics approach involving bioinformatics analysis on datasets GSE2443 and GSE35988, along with proteomics studies, to discover that cysteine- and glycine-rich protein 1 (CSRP1) expression significantly impacts the progression of HSPC. This hypothesis was substantiated through experiments using PC3 and LNCaP prostate cancer cells, where we conducted scratch assays and apoptosis assays, all of which confirmed CSRP1's role in suppressing tumor growth. Furthermore, we elucidated the inhibitory effect of CSRP1 on tumors by performing xenograft experiments on castrated mice models. To solidify these findings in a clinical context, we constructed a nomogram model integrating CSRP1's immunohistochemistry data and clinical parameters from an actual patient cohort with HSPC. This model revealed that low CSRP1 expression indeed promotes the advancement towards CRPC. In conclusion, the level of CSRP1 expression can serve as a valuable biomarker for clinicians to predict disease progression in their patients. It has the potential to guide personalized clinical management and decision-making strategies, thereby contributing to more effective and targeted treatment approaches for HSPC patients.",True
39976849,Therapeutic implications of endoplasmic reticulum stress gene CCL3 in cervical squamous cell carcinoma.,"This study investigated ERS-related gene expressions in CESC, identifying two molecular subtypes, P1 and P2, and constructing a precise prognostic model based on these subtypes. TCGA's whole-genome expression profiles were used to recognize these subtypes through the ConsensusClusterPlus method, further refining prognostic models with univariate and Lasso Cox regression analyses validated by the GSE39001 dataset. The study analyzed the expression distribution of ERS marker genes within T cell subgroups using scRNA-seq data (GSE168652), highlighting T cell diversity. The critical role of the CCL3 gene in prognostic models was examined explicitly in CD8 + T cells from healthy individuals and CESC patients. Elevated CCL3 levels were observed in patients' CD8 + T cells compared to healthy controls. Functional experiments involving CCL3 knockdown and overexpression in HeLa and SiHa CESC cell lines were conducted to investigate its impact on cell proliferation, migration, and invasion. These findings were subsequently validated in a nude mouse model. The results demonstrated that suppressing CCL3 inhibited cell proliferation, migration, and invasion significantly, while its overexpression promoted these processes. In the mouse model, CCL3 silencing reduced tumor growth and decreased Ki-67 labeling within the tumor tissues, indicating the therapeutic potential of targeting CCL3 in CESC treatment, possibly through CD8 + T cell regulation. This study contributes new prognostic assessment tools and personalized treatment options for CESC patients, paving the way for more targeted therapies in CESC by discovering the CCL3 gene, presenting significant clinical implications.",True
39974420,Exploration of key pathogenic mechanisms and potential intervention targets of the traditional Chinese medicine Coptis chinensis in the treatment of cervical cancer based on network pharmacology and molecular docking techniques.,"BACKGROUND: Traditional Chinese medicine (TCM) has shown potential in the treatment of cancer. This study investigated the molecular targets and mechanisms of Coptis chinensis in the treatment of cervical cancer using network pharmacology and bioinformatics. METHODS: Effective Coptis chinensis components were screened from the Traditional Chinese Medicine Systems Pharmacology (TCMSP) platform based on the following criteria: drug-like properties (DLP) >/=0.18 and oral bioavailability (OB) >/=30%. Target genes were identified through DrugBank, while differentially expressed genes (DEGs) related to cervical cancer were sourced from the Gene Expression Omnibus (GEO) database (GSE7803) based on the following criteria: |log fold change| >2 and P<0.05. Common DEGs were identified through a Venn diagram analysis. The expression and prognostic relevance of the candidate genes were validated using The Cancer Genome Atlas (TCGA) database. Molecular docking was performed using Pubchem, Protein Data Bank (PDB), and CB-DOCK2. A gene set enrichment analysis (GSEA) was conducted to explore the potential mechanisms of DEGs. A retrospective analysis of cervical cancer patients (June 2021 to June 2022) was performed to examine the expression of key genes in the peripheral blood via enzyme-linked immunosorbent assay. A multivariate Cox regression was conducted to identify independent prognostic factors. RESULTS: In total, 10 effective Coptis chinensis compounds and 181 target genes were identified from the TCMSP database. The GEO analysis of GSE7803 identified 109 DEGs. The Venn diagram analysis identified the following seven shared DEGs: AR, MAOB, CDKN2A, TOP2A, CXCL8, matrix metalloproteinase 1 (MMP1), and SPP1. MMP1 and SPP1 were confirmed to be upregulated candidate genes in cervical cancer tissues, and to be associated with a worse prognosis [overall survival (OS), disease-specific survival (DSS), and progression-free interval (PFI), P<0.05]. Molecular docking showed that MMP1 had high binding affinity with quercetin (-9.2) while that of SPP1 was lower (-6.3). The GSEA indicated that MMP1 was involved in the phosphoinositide 3-kinase/protein kinase B (PI3K/AKT), Janus kinase/signal transducer and activator of transcription (JAK/STAT), transforming growth factor-beta (TGF-beta), mitogen-activated protein kinase (MAPK), and hypoxia-inducible factor 1 (HIF1) pathways, and apoptosis. The retrospective analysis demonstrated that MMP1 expression was significantly decreased in the peripheral blood of patients receiving conventional chemotherapy and Coptis chinensis compared to those receiving chemotherapy alone. Multivariate Cox regression confirmed that high MMP1 expression and a lack of Coptis chinensis treatment were independent risk factors for a poor prognosis (P<0.05). CONCLUSIONS: MMP1 could be a predictive biomarker for cervical cancer. Coptis chinensis may exert therapeutic effects through MMP1 regulation via multiple pathways. Our findings provide a theoretical foundation for the clinical application of MMP1.",True
39965835,[The expression of YTHDF2 in cervical lesions and its relationship with prognosis based on bioinformatics].,"Objective: To investigate the role of YTHDF2 in cervical lesions and its potential molecular mechanism. Methods: Gene expression data of cervical tissue were obtained from the GEO database to analyze the expression of YTHDF2 mRNA and perform pathway enrichment analysis. Patients with cervical lesions diagnosed by thinprep cytologic test in Gynecological Outpatient Department of Maternal and Child Health Hospital in Jiexiu, Shanxi Province, were selected as the research subjects. Data of cervical lesions and cervical exfoliated cells were collected. HPV infection status was detected by flow-through hybridization, and the expression of YTHDF2 mRNA was detected by reverse transcription real-time polymerase chain reaction. The expression of YTHDF2 in cervical lesions and the mediating role of HPV infection in the relationship between YTHDF2 and squamous intraepithelial lesion (SIL) were evaluated. YTHDF2-related genes were screened from multiple datasets in the GEO and ENCORI databases, and their expression, immune infiltration, and survival analysis were performed to assess the association between YTHDF2 and prognosis. Results: Compared with normal cervical tissue, YTHDF2 was highly expressed in cervical lesion tissue (P<0.05). A total of 3 672 differentially expressed genes were screened from the dataset GSE49339. Gene Ontology analysis showed that YTHDF2 was mainly involved in transcription regulation. Kyoto Encyclopedia of Genes and Genomes analysis showed that YTHDF2 might be related to HPV infection and other signaling pathways. In the mediation analysis, chi(2) test results showed that the expression level of YTHDF2 was significantly different among groups (chi(2)=22.47, P<0.001). Trend chi(2) test further showed that the expression level of YTHDF2 was upregulated with the degree of cervical precancerous lesions (trend chi(2)=10.26, P=0.001). Multivariate logistic regression analysis indicated that high YTHDF2 expression increased the risk of low-grade squamous intraepithelial lesions (OR=3.15, 95%CI: 1.93-5.15) and high-grade squamous intraepithelial lesions (OR=1.85, 95%CI: 1.01-3.39). Mediation effect analysis revealed a partial mediating effect of HPV infection between YTHDF2 and SIL, accounting for 32.02% of the total effect. Twelve YTHDF2 related genes were screened by the intersection of multiple datasets. The immune infiltration analysis results showed that YTHDF2 and related genes KLF4, E2F3 and HOXC6 were associated with immune infiltration (all P<0.05). Multivariate Cox proportional hazard regression model analysis showed that low expression of KLF4 (HR=0.53, 95%CI: 0.30-0.94) and high expression of RHOB (HR=1.80, 95%CI: 1.04-3.13) were risk factors for the prognosis of cervical cancer. Conclusion: YTHDF2 is highly expressed in cervical lesions and may have been involved in the regulation of HPV infection-related pathways and its downstream related genes are related to immune infiltration and prognosis of cervical cancer, providing a theoretical basis for the study of mechanisms related to cervical lesions.",True
39857769,Identifying MTHFD1 and LGALS4 as Potential Therapeutic Targets in Prostate Cancer Through Multi-Omics Mendelian Randomization Analysis.,"Background: Prostate cancer remains one of the leading causes of cancer-related mortality in men worldwide. The treatment of it is currently based on surgical removal, radiotherapy, and hormone therapy. It is crucial to improve therapeutic prospects for the diagnosis and treatment of prostate cancer via drug target screening. Methods: We integrated eQTL data from the eQTLGen Consortium and pQTL data from UK Biobank Proteome Plasma Proteins (UKB-PPP) and deCODE health datasets. MR analyses (SMR, heterogeneity in dependent instruments (HEIDI), IVW, Wald ratio, weighted median, and MR-Egger) were used to screen candidate genes associated with prostate adenocarcinoma (PRAD) risk. Candidate genes were further verified through TCGA-based gene expression profile, survival analysis, and immune microenvironment evaluations. TIDE analysis was utilized to investigate gene immunotherapy response. Single-cell RNA sequencing data from the GSE176031 dataset were used to investigate the gene expression patterns. The Drug Bank, Therapeutic Target Database and Drug Signatures Database were utilized to predict targeted drugs for candidate genes. Results: MTHFD1 and LGALS4 were identified as promising therapeutic targets for PRAD, with evidence provided at multi-omics levels. LGALS4 was predominantly expressed in malignant cells and was correlated with enhanced immune checkpoint pathways, increased TIDE scores, and immunotherapy resistance. In contrast, MTHFD1was expressed in both tumor and microenvironmental cells and was associated with poor survival. Drug target prediction suggested that there are no currently approved drugs specifically targeting MTHFD1 and LGALS4. Conclusions: Our study identified MTHFD1 and LGALS4 as potential preventive targets for PRAD. However, future experiments are warranted to assess the utility and effectiveness of these candidate proteins.",True
39650230,Overexpression of HYOU1 is associated with cisplatin resistance and may depend on m(6)A modification in patients with cervical cancer.,"Cervical cancer (CC) is the fourth leading cause of cancer-associated mortalities among women worldwide. The chemotherapeutical platinum-based agent cisplatin (DDP) is the standard therapy for locally advanced or recurrent CC; however, platinum resistance limits its clinical benefit. Therefore, the present study aimed to identify key genes associated with DDP resistance in patients with CC and investigate the underlying molecular mechanisms. Firstly, using the CRISPR-Cas9 dataset of CC cells derived from DepMap portal, 699 genes associated with CC cell survival were identified. Subsequently, using the gene expression profiles of normal and CC samples with a response status to DDP, derived from The Cancer Genome Atlas (TCGA), hypoxia upregulated 1 (HYOU1) was further identified as significantly upregulated in CC samples and patients that did not respond to DDP (non-responders) when compared with healthy controls and patients that did respond to DDP (responders), respectively, using unpaired student's t-tests. Additionally, the log-rank test revealed that the high expression of HYOU1 was significantly associated with the poor survival of patients receiving DDP. The association between the high HYOU1 expression levels and the poor survival of patients receiving DDP was validated in the remaining TCGA dataset of patients with CC. HYOU1 expression levels were positively associated with the half-maximal inhibitory concentration value of DDP in CC cells using data derived from the Genomics of Drug Sensitivity in Cancer database. In vitro, western blotting experiments revealed high HYOU1 protein expression levels in DDP-resistant HeLa cells compared with their parental HeLa cells. Furthermore, the knockdown of HYOU1 resulted in an increased sensitivity of HeLa cells to DDP. Finally, using the sequence-based RNA adenosine methylation site predictor program, it was found that N(6)-methyladenosine (m(6)A) was highly enriched in HYOU1. The expression levels of the m(6)A reader, EIF3A, was positively correlated with the expression levels of HYOU1 and was upregulated in the non-response group compared with the response group in a dataset from TCGA database. Additionally, EIF3A had the highest probability of binding to the m(6)A motifs of HYOU1 compared with other genes. In GSE56363 obtained from the Gene Expression Omnibus, the non-responders had significantly increased expression levels of EIF3A compared with the responders. In conclusion, high expression levels of HYOU1, which may be regulated by EIF3A due to m(6)A modifications, was associated with DDP resistance in patients with CC and could potentially be used as an indicator of DDP treatment resistance.",True
39625524,Identification and validation of cigarette smoking-related genes in predicting prostate cancer development through bioinformatic analysis and experiments.,"The morbidity and mortality rates of prostate cancer (PCa) are high among elderly men worldwide. Several factors, such as heredity, obesity, and environment are associated with the occurrence of PCa. Cigarette smoking, which is also an important factor in the development of PCa, can lead to genetic alterations and consequently promote PCa development. However, the smoking-induced genetic alterations in PCa are unclear. This study aimed to identify the potential smoking-related genes associated with PCa development. The smoking-related differentially expressed genes (DEGs) were identified using the Gene Expression Omnibus (GEO) which included lots of PCa datasets. DEGs were subjected to protein-protein interaction (PPI) network analysis to identify the hub genes. The pathways in which these hub genes were enriched were identified. The Cancer Genome Atlas (TCGA) dataset was used to examine the expression of smoking-related genes in PCa samples and estimate their value in predicting tumor progression and prognosis. In total, 110 smoking-related DEGs were got from GSE68135 dataset which included microarray data of PCa patients with smoking or not and 14 smoking-related key genes associated with PCa were identified from PPI network. The expression of the following seven key genes was altered in TCGA PCa patients: EWSR1, SRSF6, COL6A3, FBLN1, DCN, CYP2J2, and PLA2G2A. EWSR1, SRSF6, FBLN1, and CYP2J2 also influenced PCa progression. Additionally, EWSR1 influenced disease-free survival. In the logistic regression model, CYP2J2, which exhibited the highest risk scores, was identified as the risk gene for PCa. We also found one of the smoking-related genes: EWSR1 was truly upregulated in clinical PCa patients and influenced PCa cells invasion and proliferation. This study identified the function of smoking-related genes involved in the progression of PCa.",True
39331229,Identification of BBC3 as a novel indicator for predicting prostate cancer development and olaparib resistance.,"Prostate cancer (PCa) is a commonly occurring malignancy in elderly men. Olaparib, a poly ADP-ribose polymerase inhibitor, is utilized in PCa treatment. However, patients often develop resistance to olaparib after a period of treatment. Genetic alterations may play a significant role in this resistance, but the specific genes involved remain unclear. This study collected RNA-sequence data from the Gene Expression Omnibus database on both olaparib-sensitive and -resistant PCa cells to identify genes crucial for resistance. Subsequently, the enriched pathways of these genes were analyzed, and a protein-protein interaction (PPI) network was constructed to identify hub genes. The effect of these hub genes on PCa occurrence, progression, and prognosis was assessed using data from The Cancer Genome Atlas and Chinese Prostate Cancer Genome and Epigenome Atlas databases. Finally, this study validated our findings in clinical PCa samples and cells. From the GSE189186 dataset, 50 upregulated genes and 2 downregulated genes were identified in olaparib-resistant C4-2B and LNCaP cells. Utilizing the PPI network, eight upregulated genes (BBC3, TP53I3, FDXR, DDB2, CDKN1A, GADD45A, ZMAT3, and SESN1) were identified as hub genes for olaparib-resistant PCa cells. Furthermore, some of these genes were central to PCa occurrence, with BBC3 also influencing progression and prognosis. Importantly, BBC3 expression was upregulated in clinical PCa samples and affected PCa cells sensitive to olaparib, suggesting its potential as a predictive marker for PCa development and olaparib resistance.",True
