PMID,Title,Abstract
40184332,Association between two single nucleotide polymorphisms of the Prostaglandin-Endoperoxide Synthase 1 and 2 genes and cell proliferative prostatic diseases in Lebanon.,"The polymorphic genes PTGS1 and PTGS2 encode cyclooxygenases COX-1 and COX-2, respectively. Overexpression of these cyclooxygenases is linked to inflammation and neoplasms. This study investigated the potential association between the single nucleotide polymorphism (SNP) -842A>G (rs10306114) of the PTGS1 gene and SNP-765G>C (rs20417) of the PTGS2 gene with prostate cancer (PCa) and benign prostate hyperplasia (BPH). Blood leucocyte DNA from 56 healthy individuals, 61 individuals with PCa, and 51 individuals with BPH were genotyped using the PCR-RFLP method. Associations were inferred by calculating odds ratios (OR) and relative risks (RR) of genotype distributions and allele frequencies. The genotypes for both SNPs were in Hardy-Weinberg equilibrium for all groups. No significant association was observed between the A or G alleles or the AA, AG, or GG genotypes of the SNP-842A>G of the PTGS1 gene and prostatic diseases. However, the C allele of SNP-765G>C of the PTGS2 gene was significantly associated with an increased risk of BPH (OR = 2.30, p-value = 0.01). Differences in the ratios of GG/GC and GG/(GC+CC) genotypes also suggested a potential association between the C allele and PCa (p-value <0.1), and the combined affected (PCa+BPH) group (p-value <0.04). The small sample size and sampling from one ethnic group are limitations of this study."
40184142,Investigating the correlation between gut microbiota and prostate cancer through a two-sample Mendelian randomization analysis.,"Previous studies in observational epidemiology have suggested a potential correlation between the gastrointestinal tract microbiota and prostate cancer. However, the causal relationship between the 2 remains uncertain, our objective was to thoroughly examine the influence of the gut microbiome on the progression of prostate cancer. In this study, we focused on investigating the gut microbiome as an exposure factor, specifically analyzing data from the MiBioGen consortium, which had a substantial sample size of 18,340 participants. As our disease outcome, we utilized prostate cancer data from the FinnGen genome-wide association study, which involved 13,216 participants. To establish causal relationships, we conducted a comprehensive Mendelian randomization analysis employing multiple methods, including inverse variance-weighted, Mendelian randomization-Egger, maximum likelihood, and weighted median approaches. Additionally, we performed sensitivity analysis to address issues such as heterogeneity and horizontal pleiotropy, ensuring the robustness of our findings. The results obtained through inverse variance-weighted analysis revealed that certain microbial groups exhibited a protective effect on prostate cancer. Specifically, the phylum Verrucomicrobia, particularly the family Rikenellaceae, and the genera Anaerotruncus, Eisenbergiella, Olsenella, and Parabacteroides were found to have a beneficial impact. Conversely, the class Bacilli, class Erysipelotrichia, order Erysipelotrichales, order Lactobacillales, family Erysipelotrichaceae, and the genera Marvinbryantia, Romboutsia, Ruminococcaceae UCG002, and Sutterella had an adverse influence on prostate cancer. The sensitivity analysis did not reveal any such outliers, further strengthening the validity of our results. To summarize, a cause-and-effect connection was discovered between various types and prostate cancer. Nevertheless, additional randomized controlled experiments are required for validation."
40183693,Significance of HPV status on tumor response and treatment outcomes in endocervical adenocarcinoma treated with definitive chemoradiotherapy: a retrospective study.,"OBJECTIVE: We aimed to compare tumor response and treatment outcomes between human papillomavirus (HPV)-associated (HPVA) and HPV-independent (HPVI) endocervical adenocarcinomas (ADCs) treated with definitive concurrent chemoradiotherapy (CCRT) and to identify prognostic factors. METHODS: We conducted a retrospective review of 40 patients with endocervical ADCs treated with definitive CCRT (stages I-IVA) between 2011 and 2022. Based on pathological review the cases were categorized as HPVA or HPVI ADCs. Statistical analyses were performed to compare the characteristics, complete response (CR) rates, and survival outcomes. RESULTS: Of 40 patients, 22 (55.0%) had HPVA and 18 (45.0%) had HPVI ADCs. HPVI patients had significantly higher rates of parametrial invasion (94.4% vs. 45.5%, p=0.001). CR was achieved in 57.5% of patients and was significantly more common in the HPVA group (81.8% vs. 27.8%, p=0.001). Patients with HPVI had higher recurrence rates (88.9% vs. 50.0%, p=0.016) and lower 3-year progression-free survival (PFS, 16.7% vs. 49.8%, p=0.001), distant metastasis-free survival (DMFS, 38.1% vs. 80.8%, p=0.001), and overall survival (OS, 42.3% vs. 90.7%, p=0.002) rates. HPVA remained a significant factor for PFS (hazard ratio [HR]=3.44; 95% confidence interval [CI]=1.09-10.81; p=0.035) and OS rates (HR=6.83; 95% CI=1.17-39.80; p=0.033) in multivariate analysis. CONCLUSION: HPVI ADC was associated with a lower response to definitive CCRT and worse prognosis than HPVA ADC. These findings suggest the need for tailored treatment strategies based on the HPV status."
40181462,A gene-based predictive model for lymph node metastasis in cervical cancer: superior performance over imaging techniques.,"OBJECTIVE: Lymph node metastasis (LNM) critically impacts the prognosis and treatment decisions of cervical cancer patients. The accuracy and sensitivity of current imaging techniques, such as CT and MRI, are limited in assessing lymph node status. This study aims to develop a more accurate and efficient method for predicting LNM. METHODS: Three independent cohorts were merged and divided into training and internal validation groups, with our cohort and those from other centers serving as external validation. A predictive model for LNM in cervical cancer was established using the LASSO regression and multivariate logistic regression. The diagnostic performance of the predictive model was compared with that of CT/MRI in terms of accuracy, sensitivity, specificity, and AUC. RESULTS: Using RNA-seq data, four independent predictive genes (MAPT, EPB41L1, ACSL5, and PRPF4B) were identified through LASSO regression and multivariate logistic regression, and a predictive model was constructed to calculate the LNM risk score. Compared with CT/MRI, the model demonstrated higher diagnostic efficiency, with an accuracy of 0.840 and sensitivity of 0.804, compared to CT/MRI's accuracy of 0.713 and sensitivity of 0.587. The predictive model corrected 81% of misdiagnoses by CT/MRI, demonstrating significant improvements in accuracy and sensitivity. CONCLUSION: The predictive model developed in this study, based on gene expression data, significantly improves the preoperative assessment accuracy of LNM in cervical cancer. Compared to traditional imaging techniques, this model shows superior sensitivity and accuracy. This study provides a robust foundation for developing precise diagnostic tools, paving the way for future clinical applications in individualized treatment planning."
40181139,Urodynamic assessment and proteomic analysis of lower urinary tract dysfunction following nerve-sparing radical hysterectomy.,"This study aimed to evaluate lower urinary tract dysfunction after radical hysterectomy using urodynamic studies and to identify urinary biomarkers for detrusor underactivity via proteomic analysis. This prospective single-center study included women who underwent nerve-sparing radical hysterectomy for cervical carcinoma. Preoperative and postoperative assessments (at 1 and 6 months) included the International Prostate Symptom Score (IPSS), Overactive Bladder Symptom Score, urethral pressure profiling, and pressure flow studies. Detrusor contractility was assessed using the projected isovolumetric pressure (PIP1). Proteomic analysis was performed to identify urinary biomarkers associated with postoperative detrusor underactivity. Twenty-five patients were included. The total IPSS increased significantly at 1 and 6 months postoperatively. The maximum urethral closure pressure decreased significantly at 1 month and stabilized thereafter. PIP1 and voiding efficiency decreased significantly at 1 month, but improved by 6 months. Proteomic analysis revealed significant correlations between the changes in urinary ezrin, moesin, transthyretin, and PIP1 levels. Receiver operating characteristic analysis identified the optimal cutoff values for these biomarkers in diagnosing detrusor underactivity (PIP1 < 30). It was concluded that nerve-sparing radical hysterectomy impairs detrusor contractility and urethral function. Additionally, urinary ezrin, moesin, and transthyretin levels may be valuable biomarkers for diagnosing detrusor underactivity."
40180929,Integrated proteogenomic characterization of localized prostate cancer identifies biological insights and subtype-specific therapeutic strategies.,"Localized prostate cancer (PCa) is highly variable in their response to therapies. Although a fraction of this heterogeneity can be explained by clinical factors or genomic and transcriptomic profiling, the proteomic-based profiling of aggressive PCa remains poorly understood. Here, we profiled the genome, transcriptome, proteome and phosphoproteome of 145 cases of localized PCa in Chinese patients. Proteome-based stratification of localized PCa revealed three subtypes with distinct molecular features: immune subgroup, arachidonic acid metabolic subgroup and sialic acid metabolic subgroup with highest biochemical recurrence (BCR) rates. Further, we nominated NANS protein, a key enzyme in sialic acid synthesis as a potential prognostic biomarker for aggressive PCa and validated in two independent cohorts. Finally, taking advantage of cell-derived orthotopic transplanted mouse models, single-cell RNA sequencing (scRNA-seq) and immunofluorescence analysis, we revealed that targeting NANS can reverse the immunosuppressive microenvironment through restricting the sialoglycan-sialic acid-recognizing immunoglobulin superfamily lectin (Siglec) axis, thereby inhibiting tumor growth of PCa. In sum, we integrate multi-omic data to refine molecular subtyping of localized PCa, and identify NANS as a potential prognostic biomarker and therapeutic option for aggressive PCa."
40180207,Viral integration and fusion transcript characteristics of possibly high-risk HPV in cervical cancer.,"HPV34, HPV66, HPV73, and HPV82 are classified by the International Agency for Research on Cancer as possibly high-risk HPV (pHR-HPV) types. Despite their relatively lower pathogenicity, some cervical cancer (CC) patients have been found to be infected with pHR-HPV, though the underlying pathogenic characteristics remain unclear. Using viral integration detection and RNA sequencing in 8 pHR-HPV(+) CC samples, we identified that the integration of pHR-HPV into the human genome and the formation of pHR-HPV-human fusion transcripts are critical events in cervical carcinogenesis. These events disrupt normal gene expression and favor the stable expression of oncogenes. Additionally, we discovered that pHR-HPV undergoes alternative splicing from the AGGTA motif. Despite their lower pathogenicity, pHR-HPV integration may represent a significant risk factor for CC development. Our findings underscore the importance of considering pHR-HPV infections in future HPV screening strategies and clinical management of cervical lesions, especially those associated with HPV integration."
40180167,GATA2 promotes cervical cancer progression under the transcriptional activation of TRIP4.,"The continued rise in recurrence and mortality rates of cervical cancer suggests the need to find novel therapeutic targets. Previous studies suggest that TRIP4 acts as a transcription factor to regulate cervical carcinogenesis and progression. Our aim was to explore whether the key downstream genes of TRIP4 functions same as TRIP4 in promoting cervical cancer development. We analyzed and confirmed the downstream targets of TRIP4 by RNA sequencing in cervical cancer cells with TRIP4 knockdown. The expression correlation between TRIP4 and GATA2 and the effect of GATA2 on cervical cancer cell growth were determined respectively by Western Blot, Scratch, Spheroid, and MTT analyses. Pulldown and ChIP experiments were performed to analyze the binding of TRIP4 to the promoter of GATA2. The clinical significance of GATA2 and TRIP4 expression in cervical cancer patients was analyzed by tissue microarray staining. GATA2 was highly expressed in cervical cancer tissues. Knockdown of GATA2 inhibited the growth, metastasis and stemness of cervical cancer cells and sensitized cervical cancer cells to radiation therapy. The inhibitory effect of TRIP4 knockdown on cervical cancer cells was rescued by GATA2 overexpression. Furthermore, TRIP4 could bind to the specific GATA2 promoter region, thereby activating its transcription. Clinical tissue microarray analysis indicated that the expression of TRIP4 and GATA2 was positively correlated, and high expression of both predicted a poor prognosis in cervical cancer patients. Our study demonstrated that GATA2 functions as the key downstream target of TRIP4 to promote cervical cancer progression and effective intervention of TRIP4/GATA2 signaling is expected to be developed as potential cervical cancer therapeutic strategy."
40179881,Engineering sonogenetic EchoBack-CAR T cells.,"Chimeric antigen receptor (CAR) T cell therapy for solid tumors encounters challenges such as on-target off-tumor toxicity, exhaustion, and limited T cell persistence. Here, we engineer sonogenetic EchoBack-CAR T cells using an ultrasensitive heat-shock promoter screened from a library and integrated with a positive feedback loop from CAR signaling, enabling long-lasting CAR expression upon focused-ultrasound (FUS) stimulation. EchoBack-hGD2CAR T cells, targeting disialoganglioside GD2, exhibited potent cytotoxicity and persistence in 3D glioblastoma (GBM) models. In mice, EchoBack-hGD2CAR T cells suppressed GBM without off-tumor toxicity and outperformed their constitutive counterparts. Single-cell RNA sequencing revealed enhanced cytotoxicity and reduced exhaustion in EchoBack-CAR T cells compared with the standard CAR T cells. This EchoBack design was further adapted to target prostate-specific membrane antigen (EchoBack-PSMACAR) for prostate cancer treatment, demonstrating long-lasting tumor suppression with minimal off-tumor toxicity. Thus, the sonogenetic EchoBack-CAR T cells can serve as a versatile, efficient, and safe strategy for solid tumor treatment."
40176904,Unravelling the antitumor mechanism of Ocoxin through cancer cell genomics.,"Cancer is one of the leading causes of death worldwide. Many therapies are being used to treat this disease, however, new treatments are now being implemented, since they are not always effective and their secondary effects represent one of the main reasons for cancer patients' loss of life quality during the progression of the disease. In this scenario, Ocoxin is a mixture of plant extracts, amino acids, vitamins and minerals, known for its antioxidant, anti-inflammatory and immunoregulatory properties, which has shown to exert antitumor effects in many cancers. The aim of this study is to elucidate the mechanism of action of the compound in colorectal cancer, triple negative breast cancer, pancreatic cancer and prostate cancer. Analyses performed through RNA sequencing revealed that the main effect of Ocoxin appears to be the alteration of cell metabolism, especially inducing the process of ferroptosis. Nevertheless, the modulation of the cell cycle was also remarkable. Ocoxin altered 13 genes in common in all the four cancers that were not only associated to metabolism and cell cycle but were also involved in the integrated stress response and unfolded protein response, suggesting that the compound causes the induction of cell death through several pathways. Although the mechanisms vary according to the type of cancer, this study highlights the potential of Ocoxin as an adjunctive treatment to improve outcomes in cancer therapy."
